,Position,Track Name,Artist,Streams,URL,date
112,113,The Weekend,SZA,1950238,https://open.spotify.com/track/6gU9OKjOE7ghfEd55oRO57,2017-12-10
113,114,Big Bidness (& Metro Boomin),Big Sean,1941976,https://open.spotify.com/track/42XnD59SFcomCJu55EPhqJ,2017-12-10
114,115,Run Rudolph Run - Single Version,Chuck Berry,1933214,https://open.spotify.com/track/2pnPe4pJtq7689i5ydzvJJ,2017-12-10
115,116,Mistletoe,Justin Bieber,1932874,https://open.spotify.com/track/32OWobmyAz8J2qA8iWekyS,2017-12-10
116,117,It's A Vibe,2 Chainz,1924796,https://open.spotify.com/track/6H0AwSQ20mo62jGlPGB8S6,2017-12-10
117,118,Man's Not Hot,Big Shaq,1917207,https://open.spotify.com/track/2nUJvBO87SkxCViQsLc9Zr,2017-12-10
118,119,Passionfruit,Drake,1913825,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd,2017-12-10
119,120,Bad and Boujee (feat. Lil Uzi Vert),Migos,1891092,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,2017-12-10
120,121,Bounce Back,Big Sean,1884541,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF,2017-12-10
121,122,That's What I Like,Bruno Mars,1871302,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,2017-12-10
122,123,Tunnel Vision,Kodak Black,1863372,https://open.spotify.com/track/4Q3N4Ct4zCuIHuZ65E3BD4,2017-12-10
123,124,Tip Toe (feat. French Montana),Jason Derulo,1844298,https://open.spotify.com/track/2z4pcBLQXF2BXKFvd0BuB6,2017-12-10
124,125,Untouchable,Eminem,1826676,https://open.spotify.com/track/4UgoXTsKI19EdofRMiqhp0,2017-12-10
125,126,Wonderful Christmastime - Remastered 2011 / Edited Version,Paul McCartney,1822908,https://open.spotify.com/track/4gavOCQdZ2g86gkvi17FM7,2017-12-10
126,127,Who's Stopping Me (& Metro Boomin),Big Sean,1821219,https://open.spotify.com/track/7dHui7yOhsoj7HdWSuJTW7,2017-12-10
127,128,"Have Yourself A Merry Little Christmas - ""Meet Me In St. Louis"" Original Cast Recording",Judy Garland,1809833,https://open.spotify.com/track/4eqne0oIdt9GW2ubiliny0,2017-12-10
128,129,Rudolph The Red-Nosed Reindeer,Burl Ives,1795970,https://open.spotify.com/track/4hXAK3mjFVFOOiJQ3rKAXi,2017-12-10
129,130,Strip That Down,Liam Payne,1792548,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ,2017-12-10
130,131,LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,1792299,https://open.spotify.com/track/6SwRhMLwNqEi6alNPVG00n,2017-12-10
131,132,Tell Me You Love Me,Demi Lovato,1783303,https://open.spotify.com/track/5Htb1uFQ1KrkFXlefS8oGj,2017-12-10
132,133,Sensualidad,Bad Bunny,1777992,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw,2017-12-10
133,134,No Role Modelz,J. Cole,1766300,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8,2017-12-10
134,135,What Ifs,Kane Brown,1756229,https://open.spotify.com/track/7zVCrzzEJU7u24sbJPXA5W,2017-12-10
135,136,Hallelujah,Pentatonix,1756169,https://open.spotify.com/track/550rQQCGkrTzvp4SfpOPzx,2017-12-10
136,137,The Way Life Goes (feat. Nicki Minaj & Oh Wonder) - Remix,Lil Uzi Vert,1755163,https://open.spotify.com/track/6GNifiuBPrKFpwNBYnooFm,2017-12-10
137,138,Gorgeous,Taylor Swift,1748457,https://open.spotify.com/track/1ZY1PqizIl78geGM4xWlEA,2017-12-10
138,139,Happy Xmas (War Is Over) - Remastered,John Lennon,1737477,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy,2017-12-10
